Sale{showId='7f8d520a-0bd9-4e94-9100-0e35454356dc', date=2020-01-02, noSoldSeats=8, sum=800.0}
Sale{showId='2ab9866d-c4c9-4f27-b11f-c35493864337', date=2020-01-02, noSoldSeats=2, sum=200.0}
Sale{showId='feb6ee0d-dbdf-4551-9c44-e7ceee43ec9c', date=2020-01-02, noSoldSeats=1, sum=200.0}
Sale{showId='2ab9866d-c4c9-4f27-b11f-c35493864337', date=2020-01-02, noSoldSeats=8, sum=800.0}
Sale{showId='feb6ee0d-dbdf-4551-9c44-e7ceee43ec9c', date=2020-01-02, noSoldSeats=4, sum=800.0}
Sale{showId='4f16cb20-c50d-4ef7-a182-422994b732c3', date=2020-01-02, noSoldSeats=10, sum=1750.0}
Sale{showId='4f16cb20-c50d-4ef7-a182-422994b732c3', date=2020-01-02, noSoldSeats=4, sum=700.0}
Sale{showId='2ab9866d-c4c9-4f27-b11f-c35493864337', date=2020-01-02, noSoldSeats=7, sum=700.0}
Sale{showId='feb6ee0d-dbdf-4551-9c44-e7ceee43ec9c', date=2020-01-02, noSoldSeats=2, sum=400.0}
Sale{showId='feb6ee0d-dbdf-4551-9c44-e7ceee43ec9c', date=2020-01-02, noSoldSeats=4, sum=800.0}
Sale{showId='feb6ee0d-dbdf-4551-9c44-e7ceee43ec9c', date=2020-01-02, noSoldSeats=10, sum=2000.0}
Sale{showId='4f16cb20-c50d-4ef7-a182-422994b732c3', date=2020-01-02, noSoldSeats=2, sum=350.0}
Sale{showId='2ab9866d-c4c9-4f27-b11f-c35493864337', date=2020-01-02, noSoldSeats=5, sum=500.0}
Sale{showId='feb6ee0d-dbdf-4551-9c44-e7ceee43ec9c', date=2020-01-02, noSoldSeats=7, sum=1400.0}
Sale{showId='2ab9866d-c4c9-4f27-b11f-c35493864337', date=2020-01-02, noSoldSeats=9, sum=900.0}
Sale{showId='feb6ee0d-dbdf-4551-9c44-e7ceee43ec9c', date=2020-01-02, noSoldSeats=5, sum=1000.0}
Sale{showId='4f16cb20-c50d-4ef7-a182-422994b732c3', date=2020-01-02, noSoldSeats=10, sum=1750.0}
Sale{showId='4f16cb20-c50d-4ef7-a182-422994b732c3', date=2020-01-02, noSoldSeats=5, sum=875.0}
Sale{showId='feb6ee0d-dbdf-4551-9c44-e7ceee43ec9c', date=2020-01-02, noSoldSeats=6, sum=1200.0}
Sale{showId='feb6ee0d-dbdf-4551-9c44-e7ceee43ec9c', date=2020-01-02, noSoldSeats=8, sum=1600.0}
Sale{showId='feb6ee0d-dbdf-4551-9c44-e7ceee43ec9c', date=2020-01-02, noSoldSeats=5, sum=1000.0}
Sale{showId='4f16cb20-c50d-4ef7-a182-422994b732c3', date=2020-01-02, noSoldSeats=1, sum=175.0}
Sale{showId='2ab9866d-c4c9-4f27-b11f-c35493864337', date=2020-01-02, noSoldSeats=7, sum=700.0}
Sale{showId='4f16cb20-c50d-4ef7-a182-422994b732c3', date=2020-01-02, noSoldSeats=7, sum=1225.0}
Sale{showId='feb6ee0d-dbdf-4551-9c44-e7ceee43ec9c', date=2020-01-02, noSoldSeats=3, sum=600.0}
Sale{showId='4f16cb20-c50d-4ef7-a182-422994b732c3', date=2020-01-02, noSoldSeats=3, sum=525.0}
Sale{showId='2ab9866d-c4c9-4f27-b11f-c35493864337', date=2020-01-02, noSoldSeats=5, sum=500.0}
Sale{showId='4f16cb20-c50d-4ef7-a182-422994b732c3', date=2020-01-02, noSoldSeats=7, sum=1225.0}
Sale{showId='2ab9866d-c4c9-4f27-b11f-c35493864337', date=2020-01-02, noSoldSeats=8, sum=800.0}
Sale{showId='4f16cb20-c50d-4ef7-a182-422994b732c3', date=2020-01-02, noSoldSeats=1, sum=175.0}
Sale{showId='feb6ee0d-dbdf-4551-9c44-e7ceee43ec9c', date=2020-01-02, noSoldSeats=2, sum=400.0}
Sale{showId='4f16cb20-c50d-4ef7-a182-422994b732c3', date=2020-01-02, noSoldSeats=1, sum=175.0}
Sale{showId='2ab9866d-c4c9-4f27-b11f-c35493864337', date=2020-01-02, noSoldSeats=1, sum=100.0}
Sale{showId='216cc4dd-bbdb-48fd-93e9-2d80c08ac444', date=2020-01-02, noSoldSeats=9, sum=1575.0}
Sale{showId='73c1ea62-0605-40a4-a268-eb4e6a6311b5', date=2020-01-02, noSoldSeats=6, sum=1200.0}
Sale{showId='216cc4dd-bbdb-48fd-93e9-2d80c08ac444', date=2020-01-02, noSoldSeats=5, sum=875.0}
Sale{showId='7189ce66-91d6-42a9-8236-df700b03f0b2', date=2020-01-02, noSoldSeats=1, sum=100.0}
Sale{showId='216cc4dd-bbdb-48fd-93e9-2d80c08ac444', date=2020-01-02, noSoldSeats=8, sum=1400.0}
Sale{showId='73c1ea62-0605-40a4-a268-eb4e6a6311b5', date=2020-01-02, noSoldSeats=8, sum=1600.0}
Sale{showId='7189ce66-91d6-42a9-8236-df700b03f0b2', date=2020-01-02, noSoldSeats=4, sum=400.0}
Sale{showId='7189ce66-91d6-42a9-8236-df700b03f0b2', date=2020-01-02, noSoldSeats=5, sum=500.0}
Sale{showId='7189ce66-91d6-42a9-8236-df700b03f0b2', date=2020-01-02, noSoldSeats=4, sum=400.0}
Sale{showId='7189ce66-91d6-42a9-8236-df700b03f0b2', date=2020-01-02, noSoldSeats=5, sum=500.0}
Sale{showId='216cc4dd-bbdb-48fd-93e9-2d80c08ac444', date=2020-01-02, noSoldSeats=4, sum=700.0}
Sale{showId='216cc4dd-bbdb-48fd-93e9-2d80c08ac444', date=2020-01-02, noSoldSeats=7, sum=1225.0}
Sale{showId='7189ce66-91d6-42a9-8236-df700b03f0b2', date=2020-01-02, noSoldSeats=1, sum=100.0}
Sale{showId='7189ce66-91d6-42a9-8236-df700b03f0b2', date=2020-01-02, noSoldSeats=6, sum=600.0}
Sale{showId='e6115a11-3326-4136-82a7-f7de9e504f71', date=2020-01-02, noSoldSeats=5, sum=875.0}
Sale{showId='e6115a11-3326-4136-82a7-f7de9e504f71', date=2020-01-02, noSoldSeats=9, sum=1575.0}
Sale{showId='bb7a91a0-441e-4b6b-9abf-b86e49f1e937', date=2020-01-02, noSoldSeats=6, sum=1200.0}
Sale{showId='bb7a91a0-441e-4b6b-9abf-b86e49f1e937', date=2020-01-02, noSoldSeats=7, sum=1400.0}
Sale{showId='fc1f00a7-8bcc-4d6c-8209-aa3897908031', date=2020-01-02, noSoldSeats=7, sum=700.0}
Sale{showId='e6115a11-3326-4136-82a7-f7de9e504f71', date=2020-01-02, noSoldSeats=8, sum=1400.0}
Sale{showId='bb7a91a0-441e-4b6b-9abf-b86e49f1e937', date=2020-01-02, noSoldSeats=9, sum=1800.0}
Sale{showId='fc1f00a7-8bcc-4d6c-8209-aa3897908031', date=2020-01-02, noSoldSeats=6, sum=600.0}
Sale{showId='e6115a11-3326-4136-82a7-f7de9e504f71', date=2020-01-02, noSoldSeats=2, sum=350.0}
Sale{showId='bb7a91a0-441e-4b6b-9abf-b86e49f1e937', date=2020-01-02, noSoldSeats=9, sum=1800.0}
Sale{showId='e6115a11-3326-4136-82a7-f7de9e504f71', date=2020-01-02, noSoldSeats=5, sum=875.0}
Sale{showId='e6115a11-3326-4136-82a7-f7de9e504f71', date=2020-01-02, noSoldSeats=9, sum=1575.0}
Sale{showId='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, noSoldSeats=9, sum=900.0}
Sale{showId='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, noSoldSeats=9, sum=900.0}
Sale{showId='e26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', date=2020-01-02, noSoldSeats=9, sum=1800.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=8, sum=1400.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=2, sum=350.0}
Sale{showId='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, noSoldSeats=4, sum=400.0}
Sale{showId='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, noSoldSeats=9, sum=900.0}
Sale{showId='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, noSoldSeats=8, sum=800.0}
Sale{showId='e26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', date=2020-01-02, noSoldSeats=6, sum=1200.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=8, sum=1400.0}
Sale{showId='e26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', date=2020-01-02, noSoldSeats=6, sum=1200.0}
Sale{showId='e26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', date=2020-01-02, noSoldSeats=2, sum=400.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=4, sum=700.0}
Sale{showId='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, noSoldSeats=3, sum=300.0}
Sale{showId='e26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', date=2020-01-02, noSoldSeats=8, sum=1600.0}
Sale{showId='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, noSoldSeats=2, sum=200.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=2, sum=350.0}
Sale{showId='e26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', date=2020-01-02, noSoldSeats=4, sum=800.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=1, sum=175.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=7, sum=1225.0}
Sale{showId='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, noSoldSeats=6, sum=600.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=5, sum=875.0}
Sale{showId='e26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', date=2020-01-02, noSoldSeats=6, sum=1200.0}
Sale{showId='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, noSoldSeats=2, sum=200.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=2, sum=350.0}
Sale{showId='e26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', date=2020-01-02, noSoldSeats=3, sum=600.0}
Sale{showId='e26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', date=2020-01-02, noSoldSeats=6, sum=1200.0}
Sale{showId='e26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', date=2020-01-02, noSoldSeats=4, sum=800.0}
Sale{showId='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, noSoldSeats=1, sum=100.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=9, sum=1575.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=6, sum=1050.0}
Sale{showId='e26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', date=2020-01-02, noSoldSeats=5, sum=1000.0}
Sale{showId='e26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', date=2020-01-02, noSoldSeats=2, sum=400.0}
Sale{showId='e26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', date=2020-01-02, noSoldSeats=6, sum=1200.0}
Sale{showId='e26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', date=2020-01-02, noSoldSeats=9, sum=1800.0}
Sale{showId='e26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', date=2020-01-02, noSoldSeats=3, sum=600.0}
Sale{showId='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, noSoldSeats=4, sum=400.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=6, sum=1050.0}
Sale{showId='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, noSoldSeats=8, sum=800.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=5, sum=875.0}
Sale{showId='e26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', date=2020-01-02, noSoldSeats=9, sum=1800.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=8, sum=1400.0}
Sale{showId='e26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', date=2020-01-02, noSoldSeats=3, sum=600.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=7, sum=1225.0}
Sale{showId='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, noSoldSeats=7, sum=700.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=1, sum=175.0}
Sale{showId='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, noSoldSeats=2, sum=200.0}
Sale{showId='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, noSoldSeats=5, sum=500.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=7, sum=1225.0}
Sale{showId='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, noSoldSeats=8, sum=800.0}
Sale{showId='e26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', date=2020-01-02, noSoldSeats=5, sum=1000.0}
Sale{showId='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, noSoldSeats=5, sum=500.0}
Sale{showId='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, noSoldSeats=5, sum=500.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=6, sum=1050.0}
Sale{showId='e26843a4-97bf-4bb5-8c5b-b7eed9ce2a61', date=2020-01-02, noSoldSeats=4, sum=800.0}
Sale{showId='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, noSoldSeats=2, sum=200.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=4, sum=700.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=1, sum=175.0}
Sale{showId='17abb1d5-cbec-435a-867e-bb3136dc51a9', date=2020-01-02, noSoldSeats=1, sum=100.0}
Sale{showId='87104298-b6ff-4d9a-8c16-d15cf21f8461', date=2020-01-02, noSoldSeats=1, sum=175.0}
Sale{showId='744b0742-6fda-4ad2-a11d-e819b032e2d7', date=2020-01-02, noSoldSeats=8, sum=1600.0}
Sale{showId='744b0742-6fda-4ad2-a11d-e819b032e2d7', date=2020-01-02, noSoldSeats=6, sum=1200.0}
Sale{showId='95b2a8c5-6f50-4247-b4b3-0d947b0973c3', date=2020-01-02, noSoldSeats=8, sum=800.0}
Sale{showId='95b2a8c5-6f50-4247-b4b3-0d947b0973c3', date=2020-01-02, noSoldSeats=8, sum=800.0}
Sale{showId='95b2a8c5-6f50-4247-b4b3-0d947b0973c3', date=2020-01-02, noSoldSeats=8, sum=800.0}
Sale{showId='95b2a8c5-6f50-4247-b4b3-0d947b0973c3', date=2020-01-02, noSoldSeats=4, sum=400.0}
Sale{showId='744b0742-6fda-4ad2-a11d-e819b032e2d7', date=2020-01-02, noSoldSeats=5, sum=1000.0}
Sale{showId='744b0742-6fda-4ad2-a11d-e819b032e2d7', date=2020-01-02, noSoldSeats=5, sum=1000.0}
Sale{showId='981d9359-f9b5-4c4e-b102-0a9257aec819', date=2020-01-02, noSoldSeats=7, sum=1225.0}
Sale{showId='95b2a8c5-6f50-4247-b4b3-0d947b0973c3', date=2020-01-02, noSoldSeats=2, sum=200.0}
Sale{showId='981d9359-f9b5-4c4e-b102-0a9257aec819', date=2020-01-02, noSoldSeats=6, sum=1050.0}
Sale{showId='981d9359-f9b5-4c4e-b102-0a9257aec819', date=2020-01-02, noSoldSeats=7, sum=1225.0}
Sale{showId='744b0742-6fda-4ad2-a11d-e819b032e2d7', date=2020-01-02, noSoldSeats=8, sum=1600.0}
Sale{showId='744b0742-6fda-4ad2-a11d-e819b032e2d7', date=2020-01-02, noSoldSeats=7, sum=1400.0}
